model_type,accuracy,learning_rate,pooling_style,batch_size
bert,0.8607172643869891,0.001,avg,64
bert,0.8557130942452044,0.001,avg,128
bert,0.8632193494578816,0.0001,avg,64
bert,0.8623853211009175,0.0001,avg,128
fast_text,0.8740617180984154,0.001,avg,64
fast_text,0.872393661384487,0.001,avg,128
fast_text,0.8206839032527106,0.0001,avg,64
fast_text,0.8185988323603003,0.0001,avg,128
lstm,0.8761467889908257,0.001,avg,64
lstm,0.8661384487072561,0.001,avg,128
lstm,0.8690575479566305,0.0001,avg,64
lstm,0.8673894912427023,0.0001,avg,128
gru,0.8744787322768974,0.001,avg,64
gru,0.8703085904920768,0.001,avg,128
gru,0.8673894912427023,0.0001,avg,64
gru,0.8769808173477899,0.0001,avg,128
rnn,0.8632193494578816,0.001,avg,64
rnn,0.8561301084236864,0.001,avg,128
rnn,0.8682235195996664,0.0001,avg,64
rnn,0.8757297748123436,0.0001,avg,128
cnn,0.8590492076730609,0.001,avg,64
cnn,0.8623853211009175,0.001,avg,128
cnn,0.8661384487072561,0.0001,avg,64
cnn,0.8590492076730609,0.0001,avg,128
gated_cnn,0.8769808173477899,0.001,avg,64
gated_cnn,0.8607172643869891,0.001,avg,128
gated_cnn,0.8803169307756463,0.0001,avg,64
gated_cnn,0.8811509591326105,0.0001,avg,128
rcnn,0.8632193494578816,0.001,avg,64
rcnn,0.8640533778148457,0.001,avg,128
rcnn,0.8715596330275229,0.0001,avg,64
rcnn,0.8753127606338615,0.0001,avg,128
